artifact,path,role,scope,model,mask,inset_mm,weighting,cv_or_eval_protocol,action,sha256,status,notes
"frozen quadratic_graph.yaml","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c0_freeze\quadratic_graph.yaml","freeze copy","Full-36 FIT","quadratic_graph","full_board_physical","0.0","frame-balanced","final frozen C0","copied_for_freeze","113d3c1b8f92d5a734a2bf612b82a4bd59c0436a89664b5e565e7dd1034bab27","CONFIRMED","byte content matches source YAML"
"source quadratic_graph.yaml","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0817\grouped_cv_model_comparison\candidate_models\full_fit\quadratic_graph.yaml","source frozen Full-36 candidate","Full-36 FIT","quadratic_graph","full_board_physical","0.0","frame-balanced","Full-36 fit artifact","reused","113d3c1b8f92d5a734a2bf612b82a4bd59c0436a89664b5e565e7dd1034bab27","CONFIRMED","fit() not called during freeze"
"Full-36 model metadata","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0817\grouped_cv_model_comparison\candidate_models\full_fit\model_parameters.json","source dataset/protocol metadata","Full-36 FIT","quadratic_graph","full_board_physical","0.0","frame-balanced","source metadata","reused","","CONFIRMED","36 poses and 32400 points; FIT IDs recorded in manifest"
"intrinsics calibration_result.yaml","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0811\intrinsics\calibration_result.yaml","camera intrinsics/distortion","all Validation","Q/C","n/a","n/a","n/a","solvePnP/ray intersection provenance","reused","d162d581ffd12df510b15e4edd42536a97abb4dc7d883352b0be76cb8c65f9b0","CONFIRMED","hash verified before freeze"
"formal laser_model_fit_config.daheng.yaml","D:\Docs\linelaserscan\calibration_tool\configs\laser_model_fit_config.daheng.yaml","formal extraction protocol","Full-36 and Validation","Q/C","full_board_physical","0.0","frame-balanced","Steger plus continuity","reused","2241737d68276dbdfb226f5285b7ae77dad07be2eaef02ed66966d6b6206cebf","CONFIRMED","formal config not modified; fit_max_points=3000 remains unchanged"
"Full-36 grouped CV comparison","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0817\grouped_cv_model_comparison\grouped_cv_model_comparison.csv","existing grouped-CV metrics","Full-36 FIT","Q/C","full_board_physical","0.0","frame-balanced","6-fold pose-grouped CV","reused","","CONFIRMED","not rerun; Full-36 Q/C metrics consumed from existing artifact"
"Full-36 paired pointwise CV","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0817\grouped_cv_model_comparison\cv_pointwise_quadratic_graph.csv; D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0817\grouped_cv_model_comparison\cv_pointwise_circular_cone.csv","paired Q/C held-out predictions","Full-36 FIT","Q/C","full_board_physical","0.0","frame-balanced","6-fold pose-grouped paired CV","reused","","CONFIRMED","same held-out pose/point identity; no refit"
"Full-36 v-bin CV metrics","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0817\grouped_cv_model_comparison\per_v_bin_cv_metrics.csv","spatial CV diagnostics","Full-36 FIT","Q/C","full_board_physical","0.0","frame-balanced","100 px v-bin CV","reused","","CONFIRMED","used for grouped/paired decision chain"
"FIT set comparison","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\fit_set_model_comparison","Curated-14/Robust-18/Full-36 comparison","three FIT sets","Q/C","full_board_physical","0.0","frame-balanced","6-fold pose-grouped CV","reused","","CONFIRMED","Full-36 recommended; no residual-based pose removal"
"paired model stability","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\paired_model_stability","paired Q/C stability","Full-36 FIT","Q/C","full_board_physical","0.0","frame-balanced","pose bootstrap and 100 px v-bin comparison","reused","","CONFIRMED","C0 paired status remained unresolved"
"Cone sampling sensitivity","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\cone_sampling_sensitivity","Cone fit sampling audit","Full-36 FIT","circular_cone","full_board_physical","0.0","frame-balanced","3000/6000/12000/all-feasible CV","reused","","CONFIRMED","3000 baseline reused; larger sampling did not materially improve metrics"
"Cone surface equivalence","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\cone_surface_equivalence","Cone operational surface audit","Full-36 operational ray/v domain","circular_cone","full_board_physical","0.0","frame-balanced","lambda prediction comparison","reused","","CONFIRMED","operational surface status EQUIVALENT; no refit"
"Validation artifact reuse audit","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\final_validation_qc\validation_artifact_reuse_audit.csv","independent Validation provenance","055-060; 019-024; 037-040","Q/C","full_board_physical","0.0","frame-balanced","frozen prediction and formal extraction protocol","reused","","CONFIRMED","all 16 Validation poses retained"
"Primary Validation comparison","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\final_validation_qc\primary_055_060_model_comparison.csv","Primary model decision","055-060","Q/C","full_board_physical","0.0","frame-balanced","frozen Full-36 prediction","reused","","CONFIRMED","Primary-only decision selects Quadratic"
"Historical Validation comparison","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\final_validation_qc\historical_validation_comparison.csv","historical regression check","019-024; 037-040","Q/C","full_board_physical","0.0","frame-balanced","frozen Full-36 prediction","reused","","CONFIRMED","not used to override Primary"
"All Validation comparison","D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\final_validation_qc\all_validation_comparison.csv","pooled consistency check","all 16 Validation poses","Q/C","full_board_physical","0.0","frame-balanced","frozen Full-36 prediction","reused","","CONFIRMED","not used to override Primary"
